decision_variable,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_macs,JimmyNAS_I_fullyCNN_macs,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count
k_4_c_0,0.621,0.619,0.55,0.579,270020,290000,3880,3272,19968,19968,182,138
k_4_c_1,0.626,0.621,0.616,0.566,450068,460000,5552,4760,20480,20480,586,474
k_4_c_2,0.639,0.668,0.605,0.622,574564,577872,7808,6936,20992,20992,1618,1406
k_4_c_3,0.636,0.662,0.605,0.664,632965,633816,10912,9928,21504,21504,3415,3107
k_4_c_4,0.597,0.629,0.627,0.618,653684,653697,14704,13656,22016,22016,5873,5491
k_8_c_0,0.618,0.625,0.607,0.583,540068,580000,4328,3544,30208,29696,386,274
k_8_c_1,0.646,0.656,0.633,0.62,1260260,1280000,7168,6152,30720,30208,1866,1522
k_8_c_2,0.669,0.669,0.642,0.627,1758244,1764576,12624,11256,31232,31232,5818,5114
k_8_c_3,0.603,0.649,0.568,0.646,1991848,1993104,21264,19552,31744,31744,12814,11756
k_8_c_4,0.623,0.64,0.592,0.587,2074724,2074176,32640,30648,32768,32256,22448,21114
